2 2 4
g0.1 v0.0.3 4
g0.1 v0.0.1 8
g1.0 v0.0.2 0
g0.0 v0.0.1 2
g0.0 v0.0.0 4
g1.1 v0.0.3 8
g1.1 v0.0.2 5
v0.0.1 v0.0.3 4
g1.1 v0.0.1 9
v0.0.1 v0.0.2 1
v0.0.0 v0.0.3 0
v0.0.0 v0.0.2 5
v0.0.0 v0.0.1 6
g1.2 v0.1.0 3
g0.2 v0.1.3 1
g0.2 v0.1.2 9
g0.2 v0.1.0 9
v0.1.2 v0.1.3 7
v0.1.1 v0.1.2 5
v0.1.1 v0.1.3 9
v0.1.0 v0.1.2 4
g1.1 v0.1.0 9
g0.1 v0.1.1 2
v0.1.0 v0.1.3 2
g1.0 v1.0.3 3
g1.1 v1.0.1 8
g1.0 v1.0.2 9
v1.0.0 v1.0.2 5
v1.0.0 v1.0.3 7
v1.0.0 v1.0.1 8
g2.0 v1.0.0 6
g2.0 v1.0.3 3
g2.0 v1.0.2 5
v1.0.1 v1.0.3 8
v1.0.1 v1.0.2 5
g2.1 v1.0.3 7
v1.1.0 v1.1.1 4
g1.2 v1.1.1 7
v1.1.0 v1.1.2 1
v1.1.0 v1.1.3 4
v1.1.1 v1.1.3 1
g2.2 v1.1.0 5
g2.2 v1.1.2 8
g1.1 v1.1.0 8
g2.1 v1.1.2 6
g1.1 v1.1.1 2
v1.1.2 v1.1.3 1
queries
v1.1.3 v0.1.2
v0.0.0 v1.0.1
